Order_Number,Product_Key,Quantity,Product_Name,Total_sales
366000,1304,1,Contoso Lens Adapter M450 White,68.00
366001,1048,2,A. Datum SLR Camera X136 Silver,854.00
366001,2007,1,Fabrikam Microwave 1.5CuFt X1100 Black,665.94
366002,1106,7,Contoso SLR Camera M146 Orange,2254.00
366002,373,1,Adventure Works Laptop8.9 E0890 White,326.00
366002,1080,4,Contoso SLR Camera X143 Silver,2584.00
366004,163,6,"Adventure Works 52"" LCD HDTV X790W White",9553.20
366004,1529,2,The Phone Company PDA Handheld 3.5 inch M610 Black,510.00
366005,421,4,Adventure Works Desktop PC3.0 MS300 Silver,1876.00
366007,1617,1,Contoso DVD Player M110 Silver,57.99
366007,666,5,Proseware Office Jet All-in-One Printer M500 Black,815.00
366008,1154,9,"Fabrikam Trendsetter 1/3"" 8.5mm X200 Blue",8982.00
366008,2510,1,Contoso Original K1m Li-Ion Standard Battery E170 White,4.06
366008,1060,5,A. Datum SLR Camera X139 Gold,3135.00
366009,1648,1,Contoso DVD 7-Inch Player Portable E200 Black,109.99
366010,618,5,WWI Screen 113in M1610 Black,1495.00
366011,128,7,"Adventure Works 19"" Color Digital TV E35 Brown",1003.80
366011,1638,1,Contoso DVD 58 DVD Storage Binder M55 Red,13.89
366011,1634,1,Contoso DVD 38 DVD Storage Binder E25 Silver,9.99
366011,2392,3,Proseware Air conditioner 10000BTU M490 Red,1289.97
366012,1807,1,MGS Dungeon Siege 2009 E163,32.00
366012,1594,4,SV DVD 38 DVD Storage Binder E25 Red,39.96
366012,1297,1,Contoso USB Cable M250 White,25.00
366013,1654,5,Contoso DVD 14-Inch Player Portable L100 Silver,1299.95
366014,123,1,"Adventure Works 19"" Portable LCD HDTV M110 Black",279.99
366014,1700,2,SV Hand Games women M40 Red,17.76
366016,1253,7,Contoso General Carrying Case E304 Silver,139.93
367000,1176,1,Fabrikam Trendsetter 1'' 25mm X400 White,1000.00
367003,153,2,"Adventure Works 26"" 720p LCD HDTV M140 Silver",939.94
367004,136,1,"Adventure Works 20"" LCD HDTV M120 Brown",349.95
367004,1637,4,Contoso DVD 48 DVD Storage Binder M50 Red,71.96
367005,1691,1,SV Hand Games for kids E30 Black,5.39
367005,319,2,SV Car Video LCD9.2W X9281 Silver,1738.00
367005,1674,8,MGS Hand Games for students E400 Red,55.92
367005,2511,9,Contoso Original K1m Li-Ion Standard Battery E170 Silver,36.54
367005,1720,2,MGS Zoo Tycoon 2: African Adventure M280,140.26
367005,1597,7,SV DVD External DVD Burner M200 Black,405.16
367005,784,1,Contoso Laptop Starter Bundle M200 White,16.50
